자치구,노선명,구간,2022년도 등주수량(본)
관악구,과천대로,사당역~남태령,75
관악구,시흥대로,구로공단역- 시흥IC,57
관악구,관악로,서울대정문~봉천고개,215
관악구,신림로,서울대정문~당곡사거리,220
관악구,보라매로,당곡사거리~삼육재활원,32
관악구,은천로,은천길삼거리~은천길입구삼거리,124
관악구,쑥고개로,관악구청~신림2교,86
관악구,문성로,신림1교~미성초교,100
관악구,신사로,도림교~시흥대로,77
관악구,난곡로,신대방역~호암길,271
관악구,남부순환로,사당역~시흥IC,490
관악구,양녕로,동작구 경계 ~ 구암초교 앞,91
관악구,호암로,산복터널~신림로,165
관악구,봉천로,인헌동~클린센터,260
관악구,봉천로,인헌동~원당초교,46
관악구,관천로,신림1교~도림교,103
관악구,원신길,동마아파트 ~ 원신길,12
관악구,낙성대로,남부순환로 ~ 서울대후문,61
관악구,조원중앙로,구로전화국~도림천,23
관악구,조원로,시흥대로 ~ 도림천,62
관악구,관악로40길,봉천3동~상도동,16
관악구,솔밭로,낙성대역 ~ 장미원아파트,14
관악구,낙성대로15길,서울대교수아파트~인헌아파트,25
관악구,광신길,신림10동,19
관악구,성현로,봉현초교~양녕로,106
관악구,구암길,드림타운남문~성현로,31
관악구,은천로25가길,드림타운정문~드림타운남문,28
관악구,은천로33길,성현로~드림타운정문,8
관악구,관악로30길,우성아파트입구~푸르지오아파트,65
관악구,승방길,별장아파트~과천대로,25
관악구,남현길,공원~선양부동산,9
관악구,청룡길,풍림아파트(양측),7
관악구,행운10길,행운동 관악산푸르지오아파트 앞,11
관악구,참숯길,서울대입구 e편한세상아파트,80
관악구,관악로37길,브라운스톤 아파트 앞,12
