안심택배설치장소,2016,2017,2018,2019,2020,2021,2022
행운동 주민센터,79%,88%,68%,59%,64%,53%,60%
신사동 자치회관,59%,58%,62%,53%,56%,40%,34%
조원동 주민센터,62%,71%,57%,49%,52%,37%,31%
청룡동 주민센터,60%,65%,48%,28%,25%,23%,25%
남현동 주민센터,52%,60%,55%,44%,35%,23%,29%
대학동 치안센터,119%,105%,87%,80%,52%,32%,37%
인헌동 주민센터,36%,88%,87%,68%,45%,37%,40%
관악청소년회관,64%,119%,103%,85%,67%,48%,35%
서원동 주민센터,,37%,58%,77%,61%,52%,46%
신림여성교실,,,17%,19%,23%,28%,20%
관악구청,,,23%,51%,41%,40%,34%
미성동 자치회관,,,,14%,35%,39%,49%
행복경로당,,,,,,,2%
현대오일뱅크_관악셀프주유소,,,,,,,18%
신한은행 (구)봉천서 지점,,,,,,,29%
신한은행 신림대학동 지점,,,,,,,10%
